aaronite,aeration,8
abetment,batement,8
abhorrer,harborer,8
ablation,obtainal,8
ablepsia,epibasal,8
ablution,abutilon,8
abortion,robotian,8
abortive,bravoite,8
abrasion,sorabian,8
abrastol,albatros,8
abristle,libertas,8
absenter,reabsent,8
absorber,reabsorb,8
acalepha,acephala,8
acanthia,achatina,8
acanthin,chinanta,8
acaudate,ecaudata,8
accorder,reaccord,8
accurate,carucate,8
acephali,phacelia,8
acervate,revacate,8
aceturic,cruciate,8
acheirus,eucharis,8
achillea,heliacal,8
achromat,trachoma,8
aconitum,acontium,8
acontias,tacsonia,8
acontius,anticous,8
acridian,cnidaria,8
acrisius,sicarius,8
acrocera,caracore,8
acrolith,trochila,8
acrotism,rotacism,8
actifier,artifice,8
actinine,naticine,8
actinism,manistic,8
actinost,oscitant,8
actinula,nautical,8
activate,cavitate,8
actuator,autocrat,8
acylogen,cynogale,8
adamsite,diastema,8
adaption,adoptian,8
addendum,unmadded,8
addicent,dedicant,8
addlings,saddling,8
adendric,riddance,8
adenylic,lycaenid,8
adiaphon,aphodian,8
adjuster,readjust,8
adlumine,unmailed,8
admittee,meditate,8
adoniram,radioman,8
adorable,roadable,8
adrenine,adrienne,8
adulator,laudator,8
adustion,sudation,8
aedilian,laniidae,8
aedility,ideality,8
aegirine,erigenia,8
aegirite,ariegite,8
aerarian,arenaria,8
aerology,areology,8
affecter,reaffect,8
affiance,caffeina,8
affirmer,reaffirm,8
afterage,fregatae,8
agaricin,garcinia,8
agenesic,genesiac,8
agenesis,assignee,8
agential,alginate,8
agentive,negative,8
agmatine,agminate,8
agnostic,coasting,8
agonista,santiago,8
agrestic,ergastic,8
agrypnia,paginary,8
airdrome,armoried,8
airplane,perianal,8
alarming,marginal,8
alarmist,alastrim,8
alastair,salariat,8
albarium,brumalia,8
albronze,blazoner,8
alburnum,laburnum,8
alchemic,chemical,8
aldamine,lamnidae,8
alemanni,melanian,8
alestake,eastlake,8
alfenide,enfilade,8
algernon,nonglare,8
algomian,magnolia,8
alienism,milesian,8
allecret,cellaret,8
allegate,ellagate,8
allergen,generall,8
allergia,galleria,8
allergin,gralline,8
alliable,labiella,8
alliably,labially,8
alliance,canaille,8
allocute,loculate,8
almaciga,macaglia,8
almerian,manerial,8
alogical,colalgia,8
alphenic,cephalin,8
alphonse,phenosal,8
alphosis,haplosis,8
alpinist,antislip,8
alrighty,arightly,8
altamira,matralia,8
altarist,striatal,8
alterant,tarletan,8
altitude,latitude,8
altrices,selictar,8
altruist,ultraist,8
alurgite,ligature,8
amaethon,thomaean,8
amanitin,maintain,8
ambivert,verbatim,8
ambrette,tambreet,8
ambrosia,saboraim,8
amenable,nameable,8
ametrope,metapore,8
amiranha,maharani,8
amitosis,omasitis,8
ammeline,melamine,8
amnestic,semantic,8
amniotic,mication,8
amoritic,microtia,8
amorphic,amphoric,8
amortize,atomizer,8
ampelite,pimelate,8
ampliate,palamite,8
amylenol,myelonal,8
anacusis,ascanius,8
anadenia,danainae,8
analogic,calinago,8
anamirta,araminta,8
anandria,andriana,8
anapsida,anaspida,8
anarchic,characin,8
anatidae,taeniada,8
ancestor,entosarc,8
anchored,rondache,8
ancyrene,cerynean,8
anecdota,coadnate,8
angeldom,lodgeman,8
anglaise,gelasian,8
angulate,gaetulan,8
aniconic,ciconian,8
anicular,caulinar,8
anilidic,indicial,8
animable,maniable,8
animalic,limacina,8
animater,marinate,8
animator,tamanoir,8
anisilic,sicilian,8
anisopod,isopodan,8
anisuria,isaurian,8
ankyroid,dikaryon,8
annaline,linnaean,8
annalist,santalin,8
annalize,zelanian,8
annamite,manatine,8
annelism,linesman,8
anneloid,nonideal,8
